#nucleus-nld-mass-strength-omp 167Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-02 1.31766E-11 1.56316E-10 8.27908E-17 9.82159E-16
2.00000E-02 2.63534E-11 3.12632E-10 1.32466E-15 1.57146E-14
5.00000E-02 6.58877E-11 7.81595E-10 5.17480E-14 6.13863E-13
1.00000E-01 1.31806E-10 1.56330E-09 8.28161E-13 9.82248E-12
2.00000E-01 2.63856E-10 3.12745E-09 1.32629E-11 1.57203E-10
3.00000E-01 3.96396E-10 4.69333E-09 6.72470E-11 7.96205E-10
4.00000E-01 5.29673E-10 6.26180E-09 2.12994E-10 2.51802E-09
5.00000E-01 6.63937E-10 7.83371E-09 5.21455E-10 6.15258E-09
6.00000E-01 7.99443E-10 9.40995E-09 1.08498E-09 1.27709E-08
7.00000E-01 9.36450E-10 1.09914E-08 2.01817E-09 2.36879E-08
8.00000E-01 1.07522E-09 1.25789E-08 3.45898E-09 4.04663E-08
9.00000E-01 1.21604E-09 1.41734E-08 5.56999E-09 6.49206E-08
1.00000E+00 1.35917E-09 1.57758E-08 8.53993E-09 9.91223E-08
1.10000E+00 1.50492E-09 1.73870E-08 1.25855E-08 1.45406E-07
1.20000E+00 1.65358E-09 1.90079E-08 1.79535E-08 2.06375E-07
1.30000E+00 1.80547E-09 2.06394E-08 2.49230E-08 2.84910E-07
1.40000E+00 1.96092E-09 2.22826E-08 3.38083E-08 3.84176E-07
1.50000E+00 2.12027E-09 2.39383E-08 4.49619E-08 5.07631E-07
1.60000E+00 2.28388E-09 2.56076E-08 5.87778E-08 6.59036E-07
1.70000E+00 2.45213E-09 2.72915E-08 7.56956E-08 8.42470E-07
1.80000E+00 2.62542E-09 2.89910E-08 9.62049E-08 1.06233E-06
1.90000E+00 2.80418E-09 3.07071E-08 1.20850E-07 1.32336E-06
2.00000E+00 2.98884E-09 3.24409E-08 1.50236E-07 1.63066E-06
2.20000E+00 3.37782E-09 3.59660E-08 2.25988E-07 2.40625E-06
2.40000E+00 3.79651E-09 3.95755E-08 3.29760E-07 3.43748E-06
2.60000E+00 4.24960E-09 4.32789E-08 4.69298E-07 4.77943E-06
